ID;Data;Tipo;Descrição;Categoria;Classificação;Pagamento;Forma de Pagamento;Parcelas;Pagamento Realizado;Valor;Observações;Mês;Ano
20;04/12/2023;Despesa;Fotos Maratona Sorocaba;Gastos Gerais Corrida;Não Essencial;À Vista;Crédito Nubank;;OK;51,78;Pago dia 04/12/2024;Janeiro;2024
21;05/12/2023;Despesa;Estacionamento Aeroporto;Transporte;Extra;À Vista;Crédito Nubank;;OK;34;Pago dia 04/12/2024;Janeiro;2024
22;05/12/2023;Despesa;Amazon Prime;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;14,9;Pago dia 04/12/2024;Janeiro;2024
23;05/12/2023;Despesa;Combustível para SP ;Transporte;Extra;À Vista;Crédito Nubank;;OK;174,92;Pago dia 04/12/2024;Janeiro;2024
24;06/12/2023;Despesa;Perfume Sauvage;Cuidados Pessoais;Não Essencial;Parcelado;Crédito Nubank;1 de 10;OK;70,5;Parcela 1/10 - Pago dia 04/12/2024;Janeiro;2024
25;08/12/2023;Despesa;Combustível;Transporte;Extra;À Vista;Crédito Nubank;;OK;50;Pago dia 04/12/2024;Janeiro;2024
26;10/12/2023;Despesa;Antitranspirante (Amazon);Cuidados Pessoais;Não Essencial;Parcelado;Crédito Nubank;1 de 2;OK;55,21;Parcela 1/2 - Pago dia 04/12/2024;Janeiro;2024
27;11/12/2023;Despesa;Sorvete com Mateuzinho;Bar / Restaurante / Churrasco;Extra;À Vista;Crédito Nubank;;OK;20;Pago dia 04/12/2024;Janeiro;2024
28;11/12/2023;Despesa;Senhor Boteco pós Confra;Bar / Restaurante / Churrasco;Extra;À Vista;Crédito Nubank;;OK;70,6;Pago dia 04/12/2024;Janeiro;2024
29;11/12/2023;Despesa;Sorvetes picolé domingo;Bar / Restaurante / Churrasco;Extra;À Vista;Crédito Nubank;;OK;55,8;Pago dia 04/12/2024;Janeiro;2024
30;12/12/2023;Despesa;HBO Max;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;29,66;Pago dia 04/12/2024;Janeiro;2024
31;15/12/2023;Despesa;Cobertor Olívia;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;1 de 6;OK;31,26;Parcela 1/6 - Pago dia 04/12/2024;Janeiro;2024
32;17/12/2023;Despesa;Não tenho noção do que seja;Gastos Extras / Diversos;Extra;À Vista;Crédito Nubank;;OK;18,4;Pago dia 04/12/2024;Janeiro;2024
33;19/12/2023;Despesa;Gelo Isabella;Bar / Restaurante / Churrasco;Extra;À Vista;Crédito Nubank;;OK;19,98;Pago dia 04/12/2024;Janeiro;2024
34;20/12/2023;Despesa;Riomar - Aniversário Carla;Bar / Restaurante / Churrasco;Extra;À Vista;Crédito Nubank;;OK;135,86;Pago dia 04/12/2024;Janeiro;2024
35;23/12/2023;Despesa;Google Storage;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;6,99;Pago dia 04/12/2024;Janeiro;2024
36;24/12/2023;Despesa;Sem Parar;Transporte;Extra;À Vista;Crédito Nubank;;OK;76,29;Pago dia 04/12/2024;Janeiro;2024
37;25/12/2023;Despesa;Spotify;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;27,9;Pago dia 04/12/2024;Janeiro;2024
38;07/01/2024;Despesa;Gatorade pós Corrida Domingo;Gastos Gerais Corrida;Extra;À Vista;Débito Nubank;;OK;8;-;Janeiro;2024
39;09/01/2024;Despesa;Pix para Abrapec;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;15;-;Janeiro;2024
40;02/01/2024;Despesa;Pix para Edna fim de ano;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;500;-;Janeiro;2024
41;30/12/2023;Despesa;Corte de Cabelo;Cuidados Pessoais;Extra;À Vista;Débito Santander;;OK;60;-;Janeiro;2024
42;30/12/2023;Despesa;Janta Musteak;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Santander;;OK;100;-;Janeiro;2024
43;31/12/2023;Despesa;Senhor Boteco com as Anjos;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Santander;;OK;120,1;-;Janeiro;2024
44;04/01/2024;Despesa;Fies;Contas Fixas;Essencial;À Vista;Boleto;;OK;208,2;-;Janeiro;2024
45;23/12/2023;Despesa;Calça Jeans -  Líria;Roupas e Calçados;Não Essencial;Parcelado;Crédito Santander;1 de 3;OK;73,34;Parcela 1/3 - Pago dia 15/01/2023;Janeiro;2024
46;22/12/2023;Despesa;Cerveja Posto Corregiz;Gastos Gerais Corrida;Extra;À Vista;Crédito Santander;;OK;8,5;Pago dia 15/01/2024;Janeiro;2024
47;02/12/2023;Despesa;Parcela Mercado Livre;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Santander;4 de 6;OK;19,91;Parcela 4/6 - Pago dia 15/01/2024;Janeiro;2024
48;22/01/2024;Despesa;Vivo Controle;Contas Fixas;Essencial;À Vista;Débito Santander;;OK;88;-;Janeiro;2024
49;15/01/2024;Despesa;IPVA;Transporte;Essencial;À Vista;Débito Nubank;;OK;1096,6;-;Janeiro;2024
50;18/01/2024;Despesa;Cerveja despedida Tati;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;123,75;-;Janeiro;2024
51;19/01/2024;Despesa;PPR Guardado;Poupado / Investimento;Essencial;À Vista;Débito Nubank;;OK;1775,27;Caixinha para Junho 2024;Janeiro;2024
52;19/01/2024;Despesa;Janta na Sexta Feira Ribeirão Preto;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;100;-;Janeiro;2024
53;20/01/2024;Despesa;Nova Superm. - Churrasco Sab Feih;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;97,32;-;Janeiro;2024
54;20/01/2024;Despesa;Janta sábado pós churrasco;Bar / Restaurante / Churrasco;Extra;À Vista;Pix;;OK;157,89;Pix para Lorena - Jantar c/ pais;Janeiro;2024
55;21/01/2024;Despesa;Posto - Energético domingo ;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;24,98;-;Janeiro;2024
56;21/01/2024;Despesa;Almoço Shopping;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;28,97;-;Janeiro;2024
57;21/01/2024;Despesa;Almoço Shopping;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;33,96;-;Janeiro;2024
58;26/01/2024;Despesa;Dentista (dente quebrado);Saúde;Extra;À Vista;Pix;;OK;120;Pix para Nabila;Janeiro;2024
59;27/01/2024;Despesa;Coxilha dos pampas;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;144,43;-;Janeiro;2024
60;28/01/2024;Despesa;Gatorade pós Corrida Domingo;Gastos Gerais Corrida;Extra;À Vista;Pix;;OK;10,49;Pix para Boutique Sanflorian;Janeiro;2024
61;29/01/2024;Despesa;Ingresso Bloco Califórnia;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;77;Pix para ingresse;Janeiro;2024
62;30/01/2024;Despesa;Trufa Duda;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;5;Pix pra Duda;Janeiro;2024
63;31/01/2024;Despesa;Sobra de Janeiro;Poupado / Investimento;Essencial;À Vista;Débito Nubank;;OK;337,22;Dinheiro Separado;Janeiro;2024
64;01/02/2024;Receita;Salário + mini ganhos conta;Entrada;;;;;OK;4801,2;-;Fevereiro;2024
65;31/01/2024;Sobra;Sobra Janeiro 2024;Entrada;;;;;OK;8,3;-;Fevereiro;2024
66;01/02/2024;Receita;Pix Leo;Entrada;;;;;OK;14;-;Fevereiro;2024
67;31/12/2023;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;9 de 9;OK;57,97;Parcela 9/9 - Pago dia 02/02/2024;Fevereiro;2024
68;31/12/2023;Despesa;Parcela BAW;Roupas e Calçados;Não Essencial;Parcelado;Crédito Nubank;5 de 9;OK;53,04;Parcela 5/9 - Pago dia 02/02/2024;Fevereiro;2024
69;31/12/2023;Despesa;Seguro do Carro;Transporte;Essencial;Parcelado;Crédito Nubank;5 de 6;OK;241,78;Parcela 5/6 - Pago dia 02/02/2024;Fevereiro;2024
70;31/12/2023;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;4 de 8;OK;53,15;Parcela 4/8 - Pago dia 02/02/2024;Fevereiro;2024
71;31/12/2023;Despesa;Parcela Buser RJ;Viagens;Não Essencial;Parcelado;Crédito Nubank;4 de 7;OK;49,13;Parcela 4/7 - Pago dia 02/02/2024;Fevereiro;2024
72;31/12/2023;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;3 de 6;OK;61,78;Parcela 3/6 - Pago dia 02/02/2024;Fevereiro;2024
73;31/12/2023;Despesa;Tenis Adidas Adizero Pro 3;Roupas e Calçados;Não Essencial;Parcelado;Crédito Nubank;10 de 12;OK;111,74;Parcela 10/12 - Pago dia 02/02/2024;Fevereiro;2024
74;31/12/2023;Despesa;Perfume Sauvage;Cuidados Pessoais;Não Essencial;Parcelado;Crédito Nubank;2 de 10;OK;70,5;Parcela 2/10 - Pago dia 02/02/2024;Fevereiro;2024
75;31/12/2023;Despesa;Antitranspirante (Amazon);Cuidados Pessoais;Não Essencial;Parcelado;Crédito Nubank;2 de 2;OK;55,2;Parcela 2/2 - Pago dia 02/02/2024;Fevereiro;2024
76;31/12/2023;Despesa;Cobertor Olívia;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;2 de 6;OK;31,26;Parcela 2/6 - Pago dia 02/02/2024;Fevereiro;2024
77;23/12/2023;Despesa;Calça Jeans -  Líria;Roupas e Calçados;Não Essencial;Parcelado;Crédito Santander;2 de 3;OK;73,32;Parcela 2/3 - Pago dia 15/02/2024;Fevereiro;2024
78;02/12/2023;Despesa;Parcela Mercado Livre;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Santander;5 de 6;OK;19,91;Parcela 5/6 - Pago dia 15/02/2024;Fevereiro;2024
79;05/01/2024;Despesa;Amazon Prime;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;14,9;Pago dia 02/02/2024;Fevereiro;2024
80;11/01/2024;Despesa;HBO Max;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;29,66;Pago dia 02/02/2024;Fevereiro;2024
81;21/01/2024;Despesa;Google Storage;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;7,99;Pago dia 02/02/2024;Fevereiro;2024
82;23/01/2024;Despesa;Sem Parar;Transporte;Extra;À Vista;Crédito Nubank;;OK;73,11;Pago dia 02/02/2024;Fevereiro;2024
83;25/01/2024;Despesa;Spotify;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;27,9;Pago dia 02/02/2024;Fevereiro;2024
84;01/02/2024;Despesa;Gympass;Cuidados Pessoais;Essencial;À Vista;Débito Nubank;;OK;49,9;-;Fevereiro;2024
85;02/02/2024;Despesa;Dente do Pai;Saúde;Essencial;À Vista;Pix;;OK;135;Pix para Edna;Fevereiro;2024
86;02/02/2024;Despesa;Cobertor Luiza e Maria;Gastos Extras / Diversos;Não Essencial;À Vista;Pix;6 de 6;OK;55;Pix para Edna (parcela 06/06);Fevereiro;2024
87;02/02/2024;Despesa;Camiseta Palmeiras anjinhos;Gastos Extras / Diversos;Não Essencial;À Vista;Pix;3 de 3;OK;100;Pix para Edna (parcela 03/03);Fevereiro;2024
88;02/02/2024;Despesa;Mensalidade Corregiz;Cuidados Pessoais;Essencial;À Vista;Pix;;OK;90;Pix para Victor Giz;Fevereiro;2024
89;02/02/2024;Despesa;Psicólogo;Saúde;Essencial;À Vista;Pix;;OK;180;Pix para Vitor Bars;Fevereiro;2024
90;02/02/2024;Despesa;Parte do salário guardado;Poupado / Investimento;Essencial;À Vista;Débito Nubank;;OK;1500;-;Fevereiro;2024
91;02/02/2024;Despesa;Pix do Leo Spotify;Poupado / Investimento;Essencial;À Vista;Débito Nubank;;OK;14;-;Fevereiro;2024
92;02/02/2024;Despesa;Fies;Contas Fixas;Essencial;À Vista;Boleto;;OK;208,19;-;Fevereiro;2024
93;03/02/2024;Despesa;Combustível Sertãozinho Sábado;Transporte;Extra;À Vista;Débito Nubank;;OK;60;-;Fevereiro;2024
94;03/02/2024;Despesa;Cerveja pro Carnaval;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;56,9;-;Fevereiro;2024
95;03/02/2024;Despesa;Lanche pós carnaval;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;53;-;Fevereiro;2024
96;04/02/2024;Despesa;Amazon Prime;Gastos Extras / Diversos;Extra;À Vista;Crédito Santander;;OK;14,9;Não tenho ideia - Pago 15/02/2024;Fevereiro;2024
97;04/02/2024;Despesa;Café da manha Carnaval;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;33,9;-;Fevereiro;2024
98;05/02/2024;Despesa;Gastos com Carnaval;Bar / Restaurante / Churrasco;Extra;À Vista;Pix;;OK;90;Pix para Juliana;Fevereiro;2024
99;05/02/2024;Despesa;Gatorade pós longão;Gastos Gerais Corrida;Extra;À Vista;Débito Nubank;;OK;12;-;Fevereiro;2024
100;06/02/2024;Despesa;Pix trufa;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;6;Pix para Danilo Raizen;Fevereiro;2024
101;07/02/2024;Despesa;Pix para salgado (PPCM);Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;10,25;Pix para Duda;Fevereiro;2024
102;08/02/2024;Despesa;Trufa Duda;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;5;Pix pra Duda;Fevereiro;2024
103;08/02/2024;Despesa;Pix carnaval Isabella;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;35;Pix para a Isabella Anjos;Fevereiro;2024
104;08/02/2024;Despesa;Combustível Sertãozinho;Transporte;Extra;À Vista;Débito Nubank;;OK;60;-;Fevereiro;2024
105;09/02/2024;Despesa;Carnaval Casa Dodo;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;120;3 compras no débito (50 + 50 + 20);Fevereiro;2024
106;10/02/2024;Despesa;Bebida p churrasco nas Anjos;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;66,85;-;Fevereiro;2024
107;13/02/2024;Despesa;Carnaval Armazém;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;5;-;Fevereiro;2024
108;13/02/2024;Despesa;Posto pós Armazem;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;41,4;-;Fevereiro;2024
109;13/02/2024;Despesa;Padaria;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;14,11;-;Fevereiro;2024
110;26/02/2024;Despesa;Vivo Controle;Contas Fixas;Essencial;À Vista;Débito Santander;;OK;88;-;Fevereiro;2024
111;15/02/2024;Despesa;Gatorade pós corrida;Gastos Gerais Corrida;Extra;À Vista;Débito Nubank;;OK;13,5;-;Fevereiro;2024
112;17/02/2024;Despesa;Padaria pós Nutricionista;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;15,91;-;Fevereiro;2024
113;17/02/2024;Despesa;Retorno Nutricionista;Cuidados Pessoais;Essencial;À Vista;Pix;;OK;100;Pix para Hianka;Fevereiro;2024
114;17/02/2024;Despesa;Bebida p churrasco no Feih;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;32,5;-;Fevereiro;2024
115;18/02/2024;Despesa;Combustível Guariba;Transporte;Extra;À Vista;Débito Nubank;;OK;40;-;Fevereiro;2024
116;18/02/2024;Despesa;Bebida p churrasco em Guariba;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;43;-;Fevereiro;2024
117;18/02/2024;Despesa;Pizza pós Churrasco;Bar / Restaurante / Churrasco;Extra;À Vista;Pix;;OK;21;Pix para Mazza;Fevereiro;2024
118;21/02/2024;Despesa;Pix Salgadinho;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;9,28;Pix para Carol Camolez;Fevereiro;2024
119;23/02/2024;Despesa;Combustível Sertãozinho;Transporte;Extra;À Vista;Débito Nubank;;OK;60,03;-;Fevereiro;2024
120;25/02/2024;Despesa;Gatorade pós corrida;Gastos Gerais Corrida;Extra;À Vista;Débito Nubank;;OK;12,99;-;Fevereiro;2024
121;26/02/2024;Despesa;Calção Hostel Joyce;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;22,5;Pix para Zen Garden Hostel;Fevereiro;2024
122;28/02/2024;Despesa;Combustível Sertãoziho;Transporte;Extra;À Vista;Débito Nubank;;OK;40;-;Fevereiro;2024
123;28/02/2024;Despesa;Pão de queijo para a galera PCM;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;30;-;Fevereiro;2024
124;29/02/2024;Despesa;Sobra de Fevereiro;Poupado / Investimento;Essencial;À Vista;Débito Nubank;;OK;246;Dinheiro Separado;Fevereiro;2024
125;01/03/2024;Receita;Salário + mini ganhos conta;Entrada;;;;;OK;4839,63;-;Março;2024
126;01/03/2024;Receita;Pix Leo;Entrada;;;;;OK;14;-;Março;2024
127;21/03/2024;Receita;Presente Padrinho;Entrada;;;;;OK;100;-;Março;2024
128;30/01/2024;Despesa;Parcela BAW;Roupas e Calçados;Não Essencial;Parcelado;Crédito Nubank;6 de 9;OK;53,04;Parcela 6/9 - Pago dia 01/03/2024;Março;2024
129;30/01/2024;Despesa;Seguro do Carro;Transporte;Essencial;Parcelado;Crédito Nubank;6 de 6;OK;241,78;Parcela 6/6 - Pago dia 01/03/2024;Março;2024
130;30/01/2024;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;5 de 8;OK;53,15;Parcela 5/8 - Pago dia 01/03/2024;Março;2024
131;30/01/2024;Despesa;Parcela Buser RJ;Viagens;Não Essencial;Parcelado;Crédito Nubank;5 de 7;OK;49,13;Parcela 5/7 - Pago dia 01/03/2024;Março;2024
132;30/01/2024;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;4 de 6;OK;61,78;Parcela 4/6 - Pago dia 01/03/2024;Março;2024
133;30/01/2024;Despesa;Tenis Adidas Adizero Pro 3;Roupas e Calçados;Não Essencial;Parcelado;Crédito Nubank;11 de 12;OK;111,74;Parcela 11/12 - Pago dia 01/03/2024;Março;2024
134;30/01/2024;Despesa;Perfume Sauvage;Cuidados Pessoais;Não Essencial;Parcelado;Crédito Nubank;3 de 10;OK;70,5;Parcela 3/10 - Pago dia 01/03/2024;Março;2024
135;30/01/2024;Despesa;Cobertor Olívia;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;3 de 6;OK;31,26;Parcela 3/6 - Pago dia 01/03/2024;Março;2024
136;23/12/2023;Despesa;Calça Jeans -  Líria;Roupas e Calçados;Não Essencial;Parcelado;Crédito Santander;3 de 3;OK;73,32;Parcela 3/3 - Pago dia 15/03/2024;Março;2024
137;02/12/2023;Despesa;Parcela Mercado Livre;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Santander;6 de 6;OK;19,91;Parcela 6/6 - Pago dia 15/03/2024;Março;2024
138;03/02/2024;Despesa;Uber Carnaval;Transporte;Extra;À Vista;Crédito Nubank;;OK;12,95;Pago dia 01/03/2024;Março;2024
139;07/02/2024;Despesa;Suplementos Growth;Cuidados Pessoais;Não Essencial;Parcelado;Crédito Santander;1 de 6;OK;56,53;Parcela 1/6 - Pago dia 15/03/2024;Março;2024
140;12/02/2024;Despesa;Ingresso Carnaval Armazém;Bar / Restaurante / Churrasco;Extra;Parcelado;Crédito Santander;1 de 2;OK;86,84;Parcela 1/2 - Pago dia 15/03/2024;Março;2024
141;21/02/2024;Despesa;HBO Max;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;29,66;Pago dia 01/03/2024;Março;2024
142;24/02/2024;Despesa;Spotify;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;27,9;Pago dia 01/03/2024;Março;2024
143;25/02/2024;Despesa;Amazon Music;Entretenimento;Essencial;À Vista;Crédito Nubank;;OK;11,9;Pago dia 01/03/2024;Março;2024
144;01/03/2024;Despesa;Pix do Leo Spotify;Poupado / Investimento;Essencial;À Vista;Débito Nubank;;OK;14;-;Março;2024
145;01/03/2024;Despesa;Gympass;Cuidados Pessoais;Essencial;À Vista;Débito Nubank;;OK;55,9;-;Março;2024
146;01/03/2024;Despesa;Dente do Pai;Saúde;Essencial;À Vista;Pix;;OK;135;Pix para Edna;Março;2024
147;01/03/2024;Despesa;Mensalidade Corregiz;Cuidados Pessoais;Essencial;À Vista;Pix;;OK;90;Pix para Victor Giz;Março;2024
148;01/03/2024;Despesa;Psicólogo;Saúde;Essencial;À Vista;Pix;;OK;90;Pix para Vitor Bars;Março;2024
149;01/03/2024;Despesa;Fies;Contas Fixas;Essencial;À Vista;Boleto;;OK;208,19;-;Março;2024
150;01/03/2024;Despesa;Ração cachorras;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;235;Pix para Edna;Março;2024
151;02/03/2024;Despesa;Sem Parar;Transporte;Extra;À Vista;Crédito Santander;;OK;50;Pago dia 15/03/2024;Março;2024
152;02/03/2024;Despesa;Sem Parar;Transporte;Extra;À Vista;Crédito Santander;;OK;20;Pago dia 15/03/2024;Março;2024
153;02/03/2024;Despesa;Sem Parar;Transporte;Extra;À Vista;Crédito Santander;;OK;100;Pago dia 15/03/2024;Março;2024
154;02/03/2024;Despesa;Padaria sábado;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;53,14;-;Março;2024
155;02/03/2024;Despesa;Janta Sábado - Dom Cabral;Bar / Restaurante / Churrasco;Extra;À Vista;Pix;;OK;100;Pix para Dom Cabral;Março;2024
156;08/03/2024;Despesa;Bebida Espetinho Flamboyant;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;19,5;-;Março;2024
157;09/03/2024;Despesa;Bar da Vitamina - Café da Manhã;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;31,5;-;Março;2024
158;11/03/2024;Despesa;Rifa Hélio;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;40;Pix para Edna;Março;2024
159;12/03/2024;Despesa;Gatorade pós corrida;Gastos Gerais Corrida;Extra;À Vista;Débito Nubank;;OK;9,99;-;Março;2024
160;13/03/2024;Despesa;Marmita Leo;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;17;Pix para Leo;Março;2024
161;13/03/2024;Despesa;Abrapec;Gastos Extras / Diversos;Extra;À Vista;Pix;;OK;15;Pix para Abrapec;Março;2024
162;13/03/2024;Despesa;Rodízio Pizza;Bar / Restaurante / Churrasco;Extra;À Vista;Débito Nubank;;OK;100;-;Março;2024
163;14/03/2024;Despesa;Combustível Sertãozinho;Transporte;Extra;À Vista;Débito Nubank;;OK;60;-;Março;2024
164;16/03/2024;Despesa;Combustível Ribeirão;Transporte;Extra;À Vista;Débito Nubank;;OK;70;-;Março;2024
165;16/03/2024;Despesa;Decatlhon Natação;Gastos Gerais Corrida;Não Essencial;À Vista;Débito Nubank;;OK;62,5;Pago da fatura de Abril;Março;2024
166;16/03/2024;Despesa;Açaí Shopping;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;17,13;-;Março;2024
167;16/03/2024;Despesa;Salgadinhos Carrefour;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;37,96;-;Março;2024
168;16/03/2024;Despesa;Estacionamento Shopping;Transporte;Extra;À Vista;Débito Nubank;;OK;10;-;Março;2024
169;16/03/2024;Despesa;Farmácia Ribeirão;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;13,98;-;Março;2024
170;17/03/2024;Despesa;Padaria Ribeirão;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;21,4;-;Março;2024
171;17/03/2024;Despesa;Pão posto combustível;Gastos Extras / Diversos;Extra;À Vista;Débito Nubank;;OK;26,32;-;Março;2024
172;19/03/2024;Despesa;Corte de Cabelo;Cuidados Pessoais;Extra;À Vista;Débito Nubank;;OK;60;-;Março;2024
173;20/03/2024;Despesa;Gatorade pós corrida;Gastos Gerais Corrida;Extra;À Vista;Débito Nubank;;OK;12,98;-;Março;2024
174;21/03/2024;Despesa;Combustível Sertãozinho;Transporte;Extra;À Vista;Débito Nubank;;OK;60;-;Março;2024
175;21/03/2024;Despesa;Vivo Controle;Contas Fixas;Essencial;À Vista;Débito Santander;;OK;88,4;-;Março;2024
